district,case_number,date,party,fine,n_fines,days_since_covid,case_type
OKLAHOMA,CF-2020-02499,2020-08-27,18207065,100,1,164,CF
OKLAHOMA,CF-2020-02500,2022-01-25,18207075,50,1,680,CF
OKLAHOMA,CF-2020-02503,2021-01-13,18207107,50,1,303,CF
OKLAHOMA,CF-2020-02504,2021-03-02,18207119,50,1,351,CF
OKLAHOMA,CF-2020-02510,2021-03-31,18207599,50,1,380,CF
OKLAHOMA,CF-2020-02512,2020-11-17,18207665,100,1,246,CF
OKLAHOMA,CF-2020-02513,2020-11-09,18207669,50,1,238,CF
OKLAHOMA,CF-2020-02514,2021-07-21,18207731,1200,2,492,CF
OKLAHOMA,CF-2020-02515,2020-07-07,18207741,90,1,113,CF
OKLAHOMA,CF-2020-02516,2021-10-06,18207805,10100,2,569,CF
OKLAHOMA,CF-2020-02518,2021-01-04,18208211,1000,2,294,CF
OKLAHOMA,CF-2020-02519,2021-01-20,18208222,50,1,310,CF
OKLAHOMA,CF-2020-02520,2020-11-10,18208240,50,1,239,CF
OKLAHOMA,CF-2020-02521,2021-12-01,18208262,50,1,625,CF
OKLAHOMA,CF-2020-02522,2020-11-03,18208285,380,2,232,CF
OKLAHOMA,CF-2020-02523,2021-11-12,18208293,50,1,606,CF
OKLAHOMA,CF-2020-02525,2020-11-12,18208316,50,1,241,CF
OKLAHOMA,CF-2020-02526,2021-08-25,18208327,100,1,527,CF
OKLAHOMA,CF-2020-02527,2021-09-08,18208340,75,1,541,CF
OKLAHOMA,CF-2020-02528,2021-09-16,18208364,50,1,549,CF
OKLAHOMA,CF-2020-02531,2022-03-23,18208460,100,1,737,CF
OKLAHOMA,CF-2020-02532,2022-06-15,18208486,50,1,821,CF
OKLAHOMA,CF-2020-02535,2021-04-12,18208556,150,1,392,CF
