district,case_number,date,party,fine,n_fines,days_since_covid,case_type
ADAIR,CF-2016-00001,2016-03-30,15585611,50,1,-1447,CF
ADAIR,CF-2016-00011,2016-08-17,16420166,200,2,-1307,CF
ADAIR,CF-2016-00015,2018-08-30,16424019,500,2,-564,CF
ADAIR,CF-2016-00019,2016-03-10,12324720,500,1,-1467,CF
ADAIR,CF-2016-00024,2016-02-11,3310872,100,1,-1495,CF
ADAIR,CF-2016-00025,2016-03-10,12718605,500,1,-1467,CF
ADAIR,CF-2016-00068,2016-04-14,14794066,100,1,-1432,CF
ADAIR,CF-2016-00072,2016-04-06,15661617,500,1,-1440,CF
ADAIR,CF-2016-00078,2016-06-02,16491280,500,1,-1383,CF
ADAIR,CF-2016-00084,2016-04-14,11555985,500,1,-1432,CF
ADAIR,CF-2016-00092,2016-06-30,12305552,800,3,-1355,CF
ADAIR,CF-2016-00106,2016-05-19,10570607,660,4,-1397,CF
ADAIR,CF-2016-00109,2016-05-23,13386544,400,1,-1393,CF
ADAIR,CF-2016-00113,2016-06-02,13908719,400,2,-1383,CF
ADAIR,CF-2016-00115,2018-02-20,16535056,225,3,-755,CF
ADAIR,CF-2016-00119,2016-08-25,11032074,1800,10,-1299,CF
ADAIR,CF-2016-00128,2016-06-30,16567477,1000,1,-1355,CF
ADAIR,CF-2016-00133,2016-06-16,14918910,500,1,-1369,CF
ADAIR,CF-2016-00135,2016-10-20,10615843,500,1,-1243,CF
ADAIR,CF-2016-00139,2018-06-05,11101478,200,1,-650,CF
ADAIR,CF-2016-00144,2016-08-09,13189684,1100,2,-1315,CF
ADAIR,CF-2016-00170,2016-08-25,14753400,200,1,-1299,CF
ADAIR,CF-2016-00175,2016-08-25,13215030,555,3,-1299,CF
ADAIR,CF-2016-00177,2016-08-11,16656747,500,1,-1313,CF
ADAIR,CF-2016-00194,2016-09-15,16689444,600,2,-1278,CF
ADAIR,CF-2016-00199,2016-11-10,11986406,500,1,-1222,CF
ADAIR,CF-2016-00201,2016-09-16,14866463,1500,1,-1277,CF
ADAIR,CF-2016-00205,2018-07-05,12714903,200,1,-620,CF
ADAIR,CF-2016-00210,2016-09-22,15742862,1500,2,-1271,CF
ADAIR,CF-2016-00213,2016-09-22,12305552,1600,3,-1271,CF
ADAIR,CF-2016-00215,2017-01-03,16690815,200,1,-1168,CF
ADAIR,CF-2016-00217,2016-10-20,14742420,600,2,-1243,CF
ADAIR,CF-2016-00222,2016-12-01,13579515,1000,1,-1201,CF
ADAIR,CF-2016-00234,2017-02-16,11133065,200,1,-1124,CF
ADAIR,CF-2016-00242,2016-12-15,12215451,500,1,-1187,CF
ADAIR,CF-2016-00248,2016-12-08,12520458,200,1,-1194,CF
ADAIR,CF-2016-00254,2016-11-10,15564315,100,1,-1222,CF
ADAIR,CF-2016-00256,2016-11-17,11098879,200,2,-1215,CF
ADAIR,CF-2016-00257,2016-11-30,12019445,200,1,-1202,CF
ADAIR,CF-2016-00266,2016-11-18,11125299,300,1,-1214,CF
ADAIR,CF-2016-00267,2016-12-08,11999052,400,2,-1194,CF
ADAIR,CF-2016-00274,2017-04-13,16782326,200,1,-1068,CF
ADAIR,CF-2016-00276,2016-12-01,15483647,200,1,-1201,CF
ADAIR,CF-2016-00279,2017-01-05,16787198,1000,1,-1166,CF
ADAIR,CF-2016-00280,2017-01-12,15567056,1000,1,-1159,CF
ADAIR,CF-2016-00283,2017-01-26,16671856,100,1,-1145,CF
ADAIR,CF-2016-00294,2017-03-09,10570607,1000,1,-1103,CF
ADAIR,CF-2016-00300,2017-01-26,10603308,500,1,-1145,CF
ADAIR,CF-2016-00310,2017-03-09,14774470,100,1,-1103,CF
ADAIR,CF-2017-00001,2017-03-23,15342019,500,1,-1089,CF
ADAIR,CF-2017-00006,2018-05-03,11552383,1000,1,-683,CF
ADAIR,CF-2017-00019,2018-06-13,13164133,750,3,-642,CF
ADAIR,CF-2017-00023,2017-07-18,16630130,1000,1,-972,CF
ADAIR,CF-2017-00031,2017-04-27,13219707,100,1,-1054,CF
ADAIR,CF-2017-00034,2017-02-16,16059449,500,1,-1124,CF
ADAIR,CF-2017-00044,2017-03-02,10585068,100,1,-1110,CF
ADAIR,CF-2017-00046,2018-05-31,16881740,800,3,-655,CF
ADAIR,CF-2017-00059,2017-03-23,16897970,50,1,-1089,CF
ADAIR,CF-2017-00064,2017-04-19,13170834,500,1,-1062,CF
ADAIR,CF-2017-00068,2018-01-25,13694404,300,1,-781,CF
ADAIR,CF-2017-00086,2017-04-27,13219707,100,1,-1054,CF
ADAIR,CF-2017-00087,2017-04-27,11098879,200,1,-1054,CF
ADAIR,CF-2017-00092,2018-07-12,16943605,500,1,-613,CF
ADAIR,CF-2017-00100,2017-10-24,12552358,10,1,-874,CF
ADAIR,CF-2017-00101,2017-04-20,10581429,500,1,-1061,CF
ADAIR,CF-2017-00103,2017-04-27,11555985,500,1,-1054,CF
ADAIR,CF-2017-00107,2017-07-06,10587072,500,1,-984,CF
ADAIR,CF-2017-00119,2017-09-14,12021246,200,1,-914,CF
ADAIR,CF-2017-00121,2017-05-25,16976619,250,1,-1026,CF
ADAIR,CF-2017-00126,2017-08-17,16856793,200,1,-942,CF
ADAIR,CF-2017-00129,2017-08-24,10588792,500,1,-935,CF
ADAIR,CF-2017-00130,2018-05-16,16971406,200,1,-670,CF
ADAIR,CF-2017-00140,2017-07-13,13091918,500,1,-977,CF
ADAIR,CF-2017-00147,2017-07-06,16894064,300,1,-984,CF
ADAIR,CF-2017-00152,2017-08-17,16856793,200,1,-942,CF
ADAIR,CF-2017-00170,2017-07-27,12237260,200,1,-963,CF
ADAIR,CF-2017-00180,2017-08-24,10588792,500,1,-935,CF
ADAIR,CF-2017-00190,2017-09-21,13706860,100,1,-907,CF
ADAIR,CF-2017-00204,2018-08-16,17117069,600,2,-578,CF
ADAIR,CF-2017-00208,2017-09-14,13091918,500,1,-914,CF
ADAIR,CF-2017-00220,2018-01-11,15163954,200,1,-795,CF
ADAIR,CF-2017-00222,2018-01-30,15163999,500,1,-776,CF
ADAIR,CF-2017-00225,2017-10-26,12544681,500,1,-872,CF
ADAIR,CF-2017-00235,2018-01-16,11045026,100,1,-790,CF
ADAIR,CF-2017-00244,2019-01-24,12237475,400,1,-417,CF
ADAIR,CF-2017-00245,2018-01-24,13540533,200,1,-782,CF
ADAIR,CF-2017-00247,2018-01-04,11498948,500,1,-802,CF
ADAIR,CF-2017-00249,2018-01-11,12443657,200,1,-795,CF
ADAIR,CF-2017-00269,2017-12-21,13980420,100,1,-816,CF
ADAIR,CF-2017-00279,2018-01-25,13215014,600,2,-781,CF
ADAIR,CF-2018-00003,2018-01-25,14585730,200,1,-781,CF
ADAIR,CF-2018-00004,2018-06-18,12096841,500,2,-637,CF
ADAIR,CF-2018-00017,2018-08-14,13313931,300,1,-580,CF
ADAIR,CF-2018-00019,2018-03-26,14944502,200,1,-721,CF
ADAIR,CF-2018-00021,2018-04-05,14381225,500,1,-711,CF
ADAIR,CF-2018-00023,2018-10-04,10615706,750,1,-529,CF
ADAIR,CF-2018-00024,2019-06-26,13517491,800,4,-264,CF
ADAIR,CF-2018-00026,2019-02-05,15301919,500,1,-405,CF
ADAIR,CF-2018-00027,2019-03-26,12026136,1000,1,-356,CF
ADAIR,CF-2018-00031,2018-03-08,12844569,300,1,-739,CF
ADAIR,CF-2018-00034,2018-05-02,14742420,400,2,-684,CF
ADAIR,CF-2018-00036,2020-01-16,14363072,300,1,-60,CF
ADAIR,CF-2018-00038,2019-05-14,11998694,1000,1,-307,CF
ADAIR,CF-2018-00039,2018-03-29,10581340,200,1,-718,CF
ADAIR,CF-2018-00040,2018-09-28,16907831,500,1,-535,CF
ADAIR,CF-2018-00042,2018-06-14,15252071,300,1,-641,CF
ADAIR,CF-2018-00044,2018-04-05,15253647,500,1,-711,CF
ADAIR,CF-2018-00046,2019-05-28,16139530,1000,1,-293,CF
ADAIR,CF-2018-00049,2019-01-24,17358696,1000,2,-417,CF
ADAIR,CF-2018-00054,2018-05-16,17358839,400,2,-670,CF
ADAIR,CF-2018-00055,2018-05-17,15269825,1000,1,-669,CF
ADAIR,CF-2018-00056,2018-05-16,15696664,100,1,-670,CF
ADAIR,CF-2018-00058,2018-09-11,14743433,500,1,-552,CF
ADAIR,CF-2018-00059,2018-08-09,14816853,300,1,-585,CF
ADAIR,CF-2018-00060,2018-04-25,15540079,250,1,-691,CF
ADAIR,CF-2018-00061,2018-07-12,15174870,300,1,-613,CF
ADAIR,CF-2018-00062,2018-05-30,15951947,1000,1,-656,CF
ADAIR,CF-2018-00066,2018-05-31,12109607,250,1,-655,CF
ADAIR,CF-2018-00068,2018-07-26,11581331,550,3,-599,CF
ADAIR,CF-2018-00069,2018-06-14,17023110,400,2,-641,CF
ADAIR,CF-2018-00072,2018-09-04,15012941,425,3,-559,CF
ADAIR,CF-2018-00073,2018-05-17,11785024,200,1,-669,CF
ADAIR,CF-2018-00077,2018-07-25,12321996,50,1,-600,CF
ADAIR,CF-2018-00080,2018-06-14,13518907,1050,3,-641,CF
ADAIR,CF-2018-00081,2019-01-24,17413605,400,3,-417,CF
ADAIR,CF-2018-00086,2019-06-26,17367298,100,1,-264,CF
ADAIR,CF-2018-00088,2021-09-20,11039035,500,1,553,CF
ADAIR,CF-2018-00093,2018-12-06,13215014,1100,3,-466,CF
ADAIR,CF-2018-00096,2018-08-06,10601950,500,1,-588,CF
ADAIR,CF-2018-00100,2018-08-30,11614539,300,1,-564,CF
ADAIR,CF-2018-00103,2018-07-25,13080828,400,2,-600,CF
ADAIR,CF-2018-00109,2019-08-27,13731083,400,1,-202,CF
ADAIR,CF-2018-00110,2019-06-13,12432885,800,4,-277,CF
ADAIR,CF-2018-00111,2018-08-09,17465037,500,1,-585,CF
ADAIR,CF-2018-00121,2019-01-15,17144793,10,1,-426,CF
ADAIR,CF-2018-00123,2018-07-12,14549604,200,1,-613,CF
ADAIR,CF-2018-00125,2018-07-26,12680623,550,5,-599,CF
ADAIR,CF-2018-00132,2018-08-29,16388379,450,4,-565,CF
ADAIR,CF-2018-00136,2018-10-26,13246489,100,1,-507,CF
ADAIR,CF-2018-00140,2018-11-15,17497850,500,1,-487,CF
ADAIR,CF-2018-00141,2018-12-05,16327644,200,1,-467,CF
ADAIR,CF-2018-00143,2019-01-03,15483647,500,1,-438,CF
ADAIR,CF-2018-00145,2018-10-12,16335264,100,1,-521,CF
ADAIR,CF-2018-00147,2018-10-11,12714599,200,1,-522,CF
ADAIR,CF-2018-00148,2019-05-16,11998694,1000,1,-305,CF
ADAIR,CF-2018-00149,2020-06-25,15274428,500,1,101,CF
ADAIR,CF-2018-00150,2019-03-14,15184840,100,1,-368,CF
ADAIR,CF-2018-00151,2019-06-11,10976887,700,2,-279,CF
ADAIR,CF-2018-00153,2018-11-15,10580294,1000,1,-487,CF
ADAIR,CF-2018-00154,2018-09-27,17358708,400,2,-536,CF
ADAIR,CF-2018-00155,2018-11-29,11073844,250,1,-473,CF
ADAIR,CF-2018-00157,2020-01-21,14996870,400,1,-55,CF
ADAIR,CF-2018-00158,2020-02-04,17535854,2000,4,-41,CF
ADAIR,CF-2018-00162,2018-10-11,10630553,200,1,-522,CF
ADAIR,CF-2018-00164,2018-10-04,10950581,200,1,-529,CF
ADAIR,CF-2018-00165,2018-09-27,12714903,200,1,-536,CF
ADAIR,CF-2018-00169,2018-11-15,17555279,250,1,-487,CF
ADAIR,CF-2018-00172,2019-02-07,16866487,2500,2,-403,CF
ADAIR,CF-2018-00174,2018-11-16,17567205,200,1,-486,CF
ADAIR,CF-2018-00175,2020-01-16,14363072,1000,1,-60,CF
ADAIR,CF-2018-00177,2019-01-23,17568367,300,1,-418,CF
ADAIR,CF-2018-00179,2020-08-13,14910114,250,1,150,CF
ADAIR,CF-2018-00180,2019-01-03,10577653,750,2,-438,CF
ADAIR,CF-2018-00181,2018-11-01,15911929,500,1,-501,CF
ADAIR,CF-2018-00186,2019-02-28,17588663,500,1,-382,CF
ADAIR,CF-2018-00187,2018-11-29,15896943,300,1,-473,CF
ADAIR,CF-2018-00191,2018-11-15,15177824,300,1,-487,CF
ADAIR,CF-2018-00194,2018-12-06,11469929,1200,4,-466,CF
ADAIR,CF-2018-00197,2019-07-16,15503790,100,1,-244,CF
ADAIR,CF-2018-00200,2019-10-03,17632220,350,2,-165,CF
ADAIR,CF-2018-00201,2018-12-20,17632228,400,2,-452,CF
ADAIR,CF-2018-00203,2018-12-20,13801136,1000,1,-452,CF
ADAIR,CF-2018-00206,2020-06-05,15649982,1000,1,81,CF
ADAIR,CF-2018-00209,2019-03-26,13148779,500,1,-356,CF
ADAIR,CF-2018-00212,2019-05-14,11998694,1000,1,-307,CF
ADAIR,CF-2018-00213,2019-01-03,11099712,800,1,-438,CF
ADAIR,CF-2018-00214,2019-09-17,12549000,1220,3,-181,CF
ADAIR,CF-2018-00215,2019-12-05,13200881,1100,2,-102,CF
ADAIR,CF-2018-00216,2019-01-03,14918910,2700,2,-438,CF
ADAIR,CF-2018-00218,2019-09-26,12545104,500,1,-172,CF
ADAIR,CF-2018-00220,2019-09-24,17648660,200,1,-174,CF
ADAIR,CF-2018-00223,2019-01-10,15012941,500,1,-431,CF
ADAIR,CF-2018-00225,2019-01-10,15012941,500,1,-431,CF
ADAIR,CF-2018-00226,2019-09-03,11141405,200,2,-195,CF
ADAIR,CF-2018-00227,2019-07-15,13746326,200,1,-245,CF
ADAIR,CF-2018-00230,2019-02-13,16960744,100,1,-397,CF
ADAIR,CF-2019-00003,2019-04-18,17694264,400,2,-333,CF
ADAIR,CF-2019-00005,2019-03-28,14954822,500,1,-354,CF
ADAIR,CF-2019-00006,2019-04-10,12404741,130,3,-341,CF
ADAIR,CF-2019-00009,2019-03-06,12290935,1000,1,-376,CF
ADAIR,CF-2019-00010,2019-05-01,10592860,300,1,-320,CF
ADAIR,CF-2019-00011,2019-04-11,13368087,450,2,-340,CF
ADAIR,CF-2019-00016,2019-02-12,15591952,500,1,-398,CF
ADAIR,CF-2019-00019,2019-08-27,17722701,10,1,-202,CF
ADAIR,CF-2019-00023,2019-04-24,16429290,350,2,-327,CF
ADAIR,CF-2019-00026,2020-08-05,17737934,700,1,142,CF
ADAIR,CF-2019-00027,2019-08-22,17737944,500,2,-207,CF
ADAIR,CF-2019-00028,2019-04-04,12493941,750,2,-347,CF
ADAIR,CF-2019-00034,2019-09-17,12549000,500,1,-181,CF
ADAIR,CF-2019-00036,2019-05-09,13530061,500,2,-312,CF
ADAIR,CF-2019-00037,2019-07-10,17772148,125,2,-250,CF
ADAIR,CF-2019-00037,2019-07-11,17772148,100,1,-249,CF
ADAIR,CF-2019-00038,2019-10-03,17117436,1000,1,-165,CF
ADAIR,CF-2019-00039,2020-01-07,11472214,500,1,-69,CF
ADAIR,CF-2019-00040,2019-07-15,13746326,200,1,-245,CF
ADAIR,CF-2019-00044,2020-01-29,15664618,2600,2,-47,CF
ADAIR,CF-2019-00046,2019-07-03,12732235,200,1,-257,CF
ADAIR,CF-2019-00049,2019-10-22,13676093,150,1,-146,CF
ADAIR,CF-2019-00050,2019-06-13,10633835,1000,2,-277,CF
ADAIR,CF-2019-00053,2019-06-13,17830209,300,1,-277,CF
ADAIR,CF-2019-00061,2020-01-07,12080591,600,2,-69,CF
ADAIR,CF-2019-00064,2019-07-11,14355601,100,1,-249,CF
ADAIR,CF-2019-00065,2019-11-07,12020756,250,1,-130,CF
ADAIR,CF-2019-00066,2019-07-25,11832923,200,1,-235,CF
ADAIR,CF-2019-00067,2019-07-15,13746326,200,1,-245,CF
ADAIR,CF-2019-00068,2019-12-05,14156377,600,3,-102,CF
ADAIR,CF-2019-00070,2020-05-21,11046950,1000,1,66,CF
ADAIR,CF-2019-00071,2019-12-11,15742862,500,1,-96,CF
ADAIR,CF-2019-00072,2020-03-26,17871496,2500,1,10,CF
ADAIR,CF-2019-00074,2019-08-01,17871503,900,5,-228,CF
ADAIR,CF-2019-00076,2019-10-16,10631536,100,1,-152,CF
ADAIR,CF-2019-00082,2020-03-19,17819081,1000,1,3,CF
ADAIR,CF-2019-00083,2020-06-23,11638978,500,1,99,CF
ADAIR,CF-2019-00084,2019-10-10,12442288,200,1,-158,CF
ADAIR,CF-2019-00085,2019-08-29,12732235,1500,1,-200,CF
ADAIR,CF-2019-00089,2019-08-22,14751854,300,1,-207,CF
ADAIR,CF-2019-00098,2020-03-19,12701865,600,4,3,CF
ADAIR,CF-2019-00099,2019-10-10,17933286,300,1,-158,CF
ADAIR,CF-2019-00102,2020-07-21,10581458,600,2,127,CF
ADAIR,CF-2019-00105,2020-05-28,17947148,300,1,73,CF
ADAIR,CF-2019-00106,2020-05-28,17947148,300,1,73,CF
ADAIR,CF-2019-00112,2019-11-21,11020884,200,1,-116,CF
ADAIR,CF-2019-00113,2019-10-17,11099677,200,1,-151,CF
ADAIR,CF-2019-00115,2019-11-07,13694404,500,1,-130,CF
ADAIR,CF-2019-00120,2019-11-13,13881071,100,1,-124,CF
ADAIR,CF-2019-00121,2020-01-15,12438482,300,3,-61,CF
ADAIR,CF-2019-00122,2020-08-18,18001559,900,3,155,CF
ADAIR,CF-2019-00123,2019-12-05,12540913,250,1,-102,CF
ADAIR,CF-2019-00125,2020-01-29,16758299,550,4,-47,CF
ADAIR,CF-2019-00131,2020-01-15,17468375,100,1,-61,CF
ADAIR,CF-2019-00139,2019-12-19,18033157,100,1,-88,CF
ADAIR,CF-2019-00142,2020-01-23,10630553,1000,1,-53,CF
ADAIR,CF-2019-00143,2020-08-27,16618371,1000,1,164,CF
ADAIR,CF-2019-00145,2020-01-02,15902127,800,1,-74,CF
ADAIR,CF-2019-00147,2020-03-05,15383558,1300,2,-11,CF
ADAIR,CF-2019-00150,2020-03-05,15285869,600,2,-11,CF
ADAIR,CF-2019-00151,2020-01-16,15341516,300,1,-60,CF
ADAIR,CF-2019-00156,2020-03-19,17895044,2500,1,3,CF
ADAIR,CF-2019-00157,2020-10-01,11048419,800,4,199,CF
ADAIR,CF-2020-00006,2020-04-22,11472214,500,1,37,CF
ADAIR,CF-2020-00007,2020-08-27,18091737,200,1,164,CF
ADAIR,CF-2020-00020,2020-03-05,10584159,600,3,-11,CF
ADAIR,CF-2020-00021,2020-03-05,16866487,600,2,-11,CF
ADAIR,CF-2020-00023,2020-03-19,14785495,600,2,3,CF
ADAIR,CF-2020-00028,2020-05-21,18007640,900,5,66,CF
ADAIR,CF-2020-00033,2020-08-06,17642094,200,1,143,CF
ADAIR,CF-2020-00034,2022-02-17,13517491,100,1,703,CF
ADAIR,CF-2020-00041,2020-05-21,18148900,500,1,66,CF
ADAIR,CF-2020-00043,2020-06-24,17835508,500,1,100,CF
ADAIR,CF-2020-00047,2020-12-03,14108765,500,1,262,CF
ADAIR,CF-2020-00052,2020-05-21,18148900,500,1,66,CF
ADAIR,CF-2020-00054,2021-01-26,11554756,400,1,316,CF
ADAIR,CF-2020-00055,2020-05-28,17165386,700,2,73,CF
ADAIR,CF-2020-00059,2020-05-28,17947148,300,1,73,CF
ADAIR,CF-2020-00065,2020-08-27,15652423,5000,1,164,CF
ADAIR,CF-2020-00066,2021-07-08,14730401,1000,1,479,CF
ADAIR,CF-2020-00068,2020-08-26,18188882,50,1,163,CF
ADAIR,CF-2020-00071,2020-07-22,18191360,300,1,128,CF
ADAIR,CF-2020-00077,2020-07-09,11592577,400,2,115,CF
ADAIR,CF-2020-00080,2020-07-02,13152316,400,1,108,CF
ADAIR,CF-2020-00081,2020-07-23,15242518,500,1,129,CF
ADAIR,CF-2020-00106,2020-12-02,15284342,500,2,261,CF
ADAIR,CF-2020-00112,2021-05-11,18314791,500,1,421,CF
ADAIR,CF-2020-00114,2020-12-03,10590833,800,3,262,CF
ADAIR,CF-2020-00117,2020-10-29,14024668,200,1,227,CF
ADAIR,CF-2020-00126,2020-12-17,18375372,300,1,276,CF
ADAIR,CF-2020-00129,2021-03-24,18380421,100,1,373,CF
ADAIR,CF-2020-00133,2021-06-07,13889531,100,1,448,CF
ADAIR,CF-2021-00003,2021-01-27,13790927,100,1,317,CF
ADAIR,CF-2021-00007,2021-04-05,15384232,1000,1,385,CF
ADAIR,CF-2021-00012,2022-07-26,14639200,600,2,862,CF
ADAIR,CF-2021-00017,2021-03-30,14932014,1000,1,379,CF
ADAIR,CF-2021-00019,2021-06-30,15595378,100,1,471,CF
ADAIR,CF-2021-00024,2021-05-12,17391014,100,1,422,CF
ADAIR,CF-2021-00034,2021-10-21,14976728,500,1,584,CF
ADAIR,CF-2021-00038,2022-04-20,11107837,1000,1,765,CF
ADAIR,CF-2021-00039,2022-06-16,18103103,250,1,822,CF
ADAIR,CF-2021-00040,2021-05-20,18501274,2505,2,430,CF
ADAIR,CF-2021-00049,2022-05-17,18555711,1005,2,792,CF
ADAIR,CF-2021-00050,2021-08-19,18567476,600,2,521,CF
ADAIR,CF-2022-00002,2022-06-15,15207512,250,1,821,CF
ADAIR,CF-2022-00006,2022-03-23,18784017,2500,5,737,CF
ADAIR,CF-2022-00007,2022-06-15,15207512,250,1,821,CF
ADAIR,CF-2022-00010,2022-07-25,16854343,600,2,861,CF
ADAIR,CF-2022-00011,2022-04-22,17994980,1130,4,767,CF
ADAIR,CF-2022-00013,2022-07-25,16854343,500,1,861,CF
ADAIR,CF-2022-00023,2022-08-18,18897647,600,2,885,CF
ADAIR,CF-2022-00025,2022-07-25,16854343,500,1,861,CF
ADAIR,CF-2022-00027,2022-07-21,13649607,1510,3,857,CF
ADAIR,CF-2022-00039,2022-08-18,11055252,500,1,885,CF
CANADIAN,CF-2016-00001,2017-02-15,16032744,75,1,-1125,CF
CANADIAN,CF-2016-00002,2016-06-22,7427395,50,1,-1363,CF
CANADIAN,CF-2016-00003,2016-02-09,16396206,250,1,-1497,CF
CANADIAN,CF-2016-00004,2017-12-13,16401004,250,1,-824,CF
CANADIAN,CF-2016-00005,2016-12-14,6778229,100,1,-1188,CF
CANADIAN,CF-2016-00009,2016-01-27,16061523,50,1,-1510,CF
CANADIAN,CF-2016-00010,2016-02-08,16405800,500,1,-1498,CF
CANADIAN,CF-2016-00013,2016-10-26,16405816,200,4,-1237,CF
CANADIAN,CF-2016-00014,2017-06-28,16408337,400,1,-992,CF
CANADIAN,CF-2016-00015,2016-11-18,16408359,1500,1,-1214,CF
CANADIAN,CF-2016-00017,2016-11-28,16392896,700,3,-1204,CF
CANADIAN,CF-2016-00018,2016-01-26,15650640,80,2,-1511,CF
CANADIAN,CF-2016-00026,2016-10-14,16410702,150,3,-1249,CF
CANADIAN,CF-2016-00027,2016-08-08,12179848,80,2,-1316,CF
CANADIAN,CF-2016-00031,2016-02-19,16414270,250,2,-1487,CF
CANADIAN,CF-2016-00035,2017-08-30,11623557,200,4,-929,CF
CANADIAN,CF-2016-00036,2018-03-26,16381155,600,2,-721,CF
CANADIAN,CF-2016-00037,2017-11-30,16420152,200,2,-837,CF
CANADIAN,CF-2016-00038,2017-10-06,16420161,750,3,-892,CF
CANADIAN,CF-2016-00040,2018-07-19,16420179,600,2,-606,CF
CANADIAN,CF-2016-00041,2016-11-04,16420240,200,2,-1228,CF
CANADIAN,CF-2016-00042,2016-02-22,16420312,100,2,-1484,CF
CANADIAN,CF-2016-00044,2016-11-07,16361416,500,1,-1225,CF
CANADIAN,CF-2016-00047,2016-02-19,16421869,90,2,-1487,CF
CANADIAN,CF-2016-00049,2016-03-02,14527511,100,2,-1475,CF
CANADIAN,CF-2016-00050,2018-03-06,14768273,200,2,-741,CF
CANADIAN,CF-2016-00051,2019-08-01,16422101,150,2,-228,CF
CANADIAN,CF-2016-00057,2016-09-22,15764136,100,1,-1271,CF
CANADIAN,CF-2016-00058,2017-07-03,16428998,50,1,-987,CF
CANADIAN,CF-2016-00060,2016-02-29,16429282,400,4,-1477,CF
CANADIAN,CF-2016-00064,2016-03-04,16431196,100,2,-1473,CF
CANADIAN,CF-2016-00066,2018-01-19,14150692,200,2,-787,CF
CANADIAN,CF-2016-00067,2017-12-20,8650034,100,2,-817,CF
CANADIAN,CF-2016-00068,2016-06-20,16435886,500,1,-1365,CF
CANADIAN,CF-2016-00069,2017-09-07,766885,115,3,-921,CF
CANADIAN,CF-2016-00072,2016-05-25,16438802,150,1,-1391,CF
CANADIAN,CF-2016-00073,2017-07-03,9644931,1100,3,-987,CF
CANADIAN,CF-2016-00076,2016-03-21,16438854,3100,2,-1456,CF
CANADIAN,CF-2016-00077,2016-06-16,16438894,80,2,-1369,CF
CANADIAN,CF-2016-00078,2017-12-20,8650034,150,3,-817,CF
CANADIAN,CF-2016-00079,2016-02-09,16438942,100,2,-1497,CF
CANADIAN,CF-2016-00082,2018-06-01,16439762,45,1,-654,CF
CANADIAN,CF-2016-00085,2016-04-11,16444847,300,2,-1435,CF
CANADIAN,CF-2016-00086,2017-07-27,16444882,100,2,-963,CF
CANADIAN,CF-2016-00088,2016-04-14,16444890,100,2,-1432,CF
CANADIAN,CF-2016-00089,2016-03-11,16444893,200,2,-1466,CF
CANADIAN,CF-2016-00090,2016-05-02,16392351,500,1,-1414,CF
CANADIAN,CF-2016-00093,2017-12-13,14494225,200,2,-824,CF
CANADIAN,CF-2016-00094,2016-03-30,16446654,450,3,-1447,CF
CANADIAN,CF-2016-00102,2016-06-22,16439143,75,1,-1363,CF
CANADIAN,CF-2016-00105,2016-06-06,15981971,300,1,-1379,CF
CANADIAN,CF-2016-00106,2016-04-27,16450824,300,3,-1419,CF
CANADIAN,CF-2016-00107,2016-04-20,16450889,500,1,-1426,CF
CANADIAN,CF-2016-00111,2016-03-14,16451794,80,2,-1463,CF
CANADIAN,CF-2016-00112,2016-03-11,16451793,100,2,-1466,CF
CANADIAN,CF-2016-00113,2016-07-20,16262226,150,1,-1335,CF
CANADIAN,CF-2016-00118,2016-03-11,16455730,150,3,-1466,CF
CANADIAN,CF-2016-00119,2016-06-29,16456818,180,4,-1356,CF
CANADIAN,CF-2016-00121,2017-08-30,9609704,250,1,-929,CF
CANADIAN,CF-2016-00125,2017-12-12,16094060,700,3,-825,CF
CANADIAN,CF-2016-00126,2017-01-06,16458879,250,2,-1165,CF
CANADIAN,CF-2016-00127,2019-05-13,6225440,50,1,-308,CF
CANADIAN,CF-2016-00128,2017-01-06,16458879,150,1,-1165,CF
CANADIAN,CF-2016-00130,2016-12-15,16459976,250,5,-1187,CF
CANADIAN,CF-2016-00131,2018-11-02,16460020,50,1,-500,CF
CANADIAN,CF-2016-00135,2016-04-08,16461815,250,1,-1438,CF
CANADIAN,CF-2016-00136,2016-04-26,13872146,335,4,-1420,CF
CANADIAN,CF-2016-00138,2016-03-22,770330,100,2,-1455,CF
CANADIAN,CF-2016-00141,2016-12-05,16467125,300,4,-1197,CF
CANADIAN,CF-2016-00145,2016-06-17,16467207,100,1,-1368,CF
CANADIAN,CF-2016-00146,2016-06-06,16467225,250,5,-1379,CF
CANADIAN,CF-2016-00148,2017-09-07,16421899,150,1,-921,CF
CANADIAN,CF-2016-00149,2016-09-06,16467306,600,2,-1287,CF
CANADIAN,CF-2016-00150,2017-05-01,16467312,500,2,-1050,CF
CANADIAN,CF-2016-00151,2016-08-05,16467328,800,2,-1319,CF
CANADIAN,CF-2016-00152,2017-06-05,16467349,200,2,-1015,CF
CANADIAN,CF-2016-00155,2016-07-13,16469710,600,2,-1342,CF
CANADIAN,CF-2016-00156,2017-05-08,16469758,600,2,-1043,CF
CANADIAN,CF-2016-00157,2016-11-07,16469805,500,1,-1225,CF
CANADIAN,CF-2016-00159,2018-06-20,16442912,1000,1,-635,CF
CANADIAN,CF-2016-00160,2016-05-20,16469944,50,1,-1396,CF
CANADIAN,CF-2016-00162,2016-03-25,16469578,200,2,-1452,CF
